Mon,Tue,Wed,Thu,Date,Stormy,p,q
1,0,0,0,1,1,1.5692171,8.994421
0,1,0,0,2,1,2,7.707063
0,0,1,0,3,0,2.0723207,8.350194
0,0,0,1,4,1,2.2471389999999998,8.656955
0,0,0,0,5,1,2.6643268,7.844241
1,0,0,0,6,0,1.7934857,9.301277
0,1,0,0,7,0,1.8841682,8.920656
0,0,1,0,8,0,1.7401326,9.105979
0,0,0,1,9,0,1.8828746,8.307706
0,0,0,0,10,0,1.6579239000000001,9.20954
1,0,0,0,11,1,1.8744368,8.552561
0,1,0,0,12,1,2.027399,8.523175
0,0,1,0,13,1,1.9287725,8.865453
0,0,0,1,14,1,2.1230601,9.186355
0,0,0,0,15,1,2.2130932,8.699348
1,0,0,0,16,0,1.6827955,9.408863
0,1,0,0,17,0,1.8911612,8.150179
0,0,0,1,18,0,2.2231435,6.703188
0,0,0,0,19,0,2.2464593,8.798907
1,0,0,0,20,0,1.924569,9.565214
0,1,0,0,21,0,2.2055992,8.297792
0,0,0,1,22,0,2.2188098,8.320935
0,0,0,0,23,0,2.307025,8.884887
1,0,0,0,24,1,2.399592,9.336444
0,1,0,0,25,1,2.4969802,8.122668
0,0,1,0,26,1,2.3968258000000002,8.15191
0,0,0,1,27,0,2.2830518,9.51834
0,0,0,0,28,0,2.2263384,8.567886
1,0,0,0,29,0,1.9276793,9.386811
0,1,0,0,30,0,1.8454705,8.628735
0,0,1,0,31,1,2.2363888,7.727535
0,0,0,1,32,1,2.1718503,8.453188
0,0,0,0,33,1,2.1541506,7.156956
1,0,0,0,34,1,2.0350913,6.363028
0,1,0,0,35,0,2.218131,7.313221
0,0,1,0,36,0,1.9375645,8.39163
0,0,0,1,37,0,1.5581672,9.188503
0,0,0,0,38,0,1.2300657,9.318297
1,0,0,0,39,1,1.2608089,8.363809
0,1,0,0,40,0,1.2769998999999999,8.621193
0,0,1,0,41,0,1.4815698,8.144679
0,0,0,1,42,0,1.4466147,8.710784
0,0,0,0,43,0,1.4409276,8.417373
1,0,0,0,44,1,1.5761857,9.017968
0,1,0,0,45,1,1.2268101,7.528332
0,0,1,0,46,1,1.7959047,7.154615
0,0,0,1,47,1,2.3841877,8.487764
0,0,0,0,48,0,2.3479887,8.979543
1,0,0,0,49,1,2.3229889,8.744328
0,1,0,0,50,1,2.4345259,7.893572
0,0,1,0,51,1,2.2000211,8.5923
0,0,0,1,52,0,1.9928315,9.035987
0,0,0,0,53,0,1.5255421,9.525735
0,1,0,0,54,0,1.2288913,9.773094
0,0,1,0,55,0,0.9052260000000001,8.158802
0,0,0,1,56,0,1.1397988,8.677609
0,0,0,0,57,0,1.402163,9.034796
1,0,0,0,58,0,1.432016,8.375629
0,1,0,0,59,0,1.2288913,7.649693
0,0,1,0,60,0,1.7275854,7.853605
0,0,0,1,61,1,2.1849223,7.955074
0,0,0,0,62,1,2.20676,8.73069
1,0,0,0,63,0,2.074108,8.633197
0,1,0,0,64,1,1.9928315,8.796339
0,0,1,0,65,0,1.7451077,8.994048
0,0,0,1,66,0,1.7635102,9.22375
0,0,0,0,67,0,1.5151499,8.568457
1,0,0,0,68,0,1.1880693,9.981374
0,1,0,0,69,0,1.5219642,9.172119
0,0,1,0,70,0,1.7698878,8.116715
0,0,0,1,71,1,1.7112062,9.241354
0,0,0,0,72,1,1.6590734,8.016318
1,0,0,0,73,0,1.5187332,9.646011
0,1,0,0,74,0,1.4182664,9.168476
0,0,1,0,75,0,1.9629587,7.44132
0,0,0,1,76,0,2.0746435,8.61432
0,0,0,0,77,1,1.4731741,8.902047
1,0,0,0,78,0,1.8876708,7.857481
0,1,0,0,79,0,1.7623284,8.228177
0,0,1,0,80,0,1.5756069,7.986165
0,0,0,1,81,0,1.5171874,9.395989
0,0,0,0,82,0,1.8076282,7.711997
1,0,0,0,83,1,2.1823216,7.705263
0,1,0,0,84,1,2.2876821,7.013916
0,0,1,0,85,0,1.8126659,8.492901
0,0,0,1,86,0,1.5595552,9.333443
0,0,0,0,87,0,1.432016,9.578795
1,0,0,0,88,0,1.6126392,8.975504
0,1,0,0,89,0,1.4891744,7.28961
0,0,1,0,90,0,1.3850902,9.415728
0,0,0,1,91,0,1.6123071,8.740336
0,0,0,0,92,0,1.6283323,8.584852
1,0,0,0,93,0,1.6898450999999999,8.657825
0,1,0,0,94,0,1.6497975999999999,7.383989
0,0,1,0,95,0,1.7768565,6.194406
0,0,0,1,96,0,1.6880952,9.187583
0,0,0,0,97,0,1.7741354,8.779557
0,1,0,0,98,0,1.7157309,9.261033
0,0,1,0,99,0,1.9028362,8.294049
0,0,0,1,100,0,1.8580819,8.737132
0,0,0,0,101,0,1.4635618,9.651816
1,0,0,0,102,0,1.5403133,8.552561
0,1,0,0,103,0,1.5133885999999999,8.163371
0,0,1,0,104,0,1.2396441,8.663024
0,0,0,1,105,0,1.1068764,9.099409
0,0,0,0,106,0,0.892255,9.014325
1,0,0,0,107,0,1.2014922000000001,8.610683
0,1,0,0,108,0,1.9129886,7.162397
0,0,1,0,109,0,2.1849223,7.36201
0,0,0,1,110,0,2.2231435,8.764053
0,0,0,0,111,0,2.5611184,8.328451
