Month,Flights to Hong Kong
2007-01,14
2007-02,14
2007-03,26
2007-04,26
2007-05,12
2007-06,51
2007-07,48
2007-08,69
2007-09,68
2007-10,51
2007-11,10
2007-12,11
2008-01,57
2008-02,59
2008-03,28
2008-04,55
2008-05,56
2008-06,20
2008-07,38
2008-08,28
2008-09,35
2008-10,16
2008-11,44
2008-12,76
2009-01,24
2009-02,25
2009-03,46
2009-04,70
2009-05,70
2009-06,31
2009-07,31
2009-08,38
2009-09,51
2009-10,56
2009-11,36
2009-12,49
2010-01,59
2010-02,41
2010-03,44
2010-04,71
2010-05,54
2010-06,49
2010-07,60
2010-08,40
2010-09,45
2010-10,96
2010-11,43
2010-12,37
2011-01,55
2011-02,31
2011-03,40
2011-04,38
2011-05,57
2011-06,51
2011-07,74
2011-08,50
2011-09,50
2011-10,47
2011-11,40
2011-12,35
2012-01,71
2012-02,37
2012-03,59
2012-04,57
2012-05,38
2012-06,57
2012-07,45
2012-08,47
2012-09,44
2012-10,35
2012-11,21
2012-12,49
2013-01,35
2013-02,52
2013-03,45
2013-04,56
2013-05,40
2013-06,40
2013-07,38
2013-08,54
2013-09,51
2013-10,54
2013-11,45
2013-12,50
2014-01,64
2014-02,43
2014-03,42
2014-04,46
2014-05,32
2014-06,70
2014-07,44
2014-08,44
2014-09,68
2014-10,54
2014-11,40
2014-12,51
2015-01,76
2015-02,40
2015-03,35
2015-04,47
2015-05,29
2015-06,50
2015-07,55
2015-08,77
2015-09,58
2015-10,55
2015-11,58
2015-12,70
2016-01,74
2016-02,44
2016-03,68
2016-04,68
2016-05,78
2016-06,75
2016-07,81
2016-08,75
2016-09,71
2016-10,79
2016-11,100
2016-12,74
2017-01,83
2017-02,59
2017-03,64
2017-04,91
2017-05,73
2017-06,93
2017-07,67
2017-08,74
2017-09,75
2017-10,60
2017-11,82
