Track_Name,Artist_Name,Genre,Beats_Per_Minute,Energy,Danceability,Length,Acousticness,Popularity
China,Anuel AA,2,105,81,79,302,8,92
boyfriend (with Social House),Ariana Grande,0,190,80,40,186,12,85
Beautiful People (feat. Khalid),Ed Sheeran,0,93,65,64,198,12,86
Goodbyes (Feat. Young Thug),Post Malone,2,150,65,58,175,45,94
I Don't Care (with Justin Bieber),Ed Sheeran,0,102,68,80,220,9,84
Ransom,Lil Tecca,2,180,64,75,131,2,92
How Do You Sleep?,Sam Smith,0,111,68,48,202,15,90
Old Town Road - Remix,Lil Nas X,2,136,62,88,157,5,87
bad guy,Billie Eilish,0,135,43,70,194,33,95
Callaita,Bad Bunny,2,176,62,61,251,60,93
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,0,96,71,82,185,28,86
Someone You Loved,Lewis Capaldi,0,110,41,50,182,75,88
Otro Trago - Remix,Sech,0,176,79,73,288,7,87
Money In The Grave (Drake ft. Rick Ross),Drake,2,101,50,83,205,10,92
No Guidance (feat. Drake),Chris Brown,0,93,45,70,261,12,82
LA CANCI�N,J Balvin,1,176,65,75,243,15,90
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2,90,48,76,158,56,91
Lalala,Y2K,2,130,39,84,161,18,88
Truth Hurts,Lizzo,2,158,62,72,173,11,91
Piece Of Your Heart,MEDUZA,0,124,74,68,153,4,91
Panini,Lil Nas X,2,154,59,70,115,34,91
No Me Conoce - Remix,Jhay Cortez,2,92,79,81,309,14,83
Soltera - Remix,Lunay,1,92,78,80,266,36,91
bad guy (with Justin Bieber),Billie Eilish,0,135,45,67,195,25,89
If I Can't Have You,Shawn Mendes,0,124,82,69,191,49,70
Dance Monkey,Tones and I,0,98,59,82,210,69,83
It's You,Ali Gatie,2,96,46,73,213,37,89
Con Calma,Daddy Yankee,1,94,86,74,193,11,91
QUE PRETENDES,J Balvin,1,93,79,64,222,3,89
Takeaway,The Chainsmokers,2,85,51,29,210,12,84
7 rings,Ariana Grande,0,140,32,78,179,59,89
0.958333333,Maluma,2,96,71,78,176,22,89
The London (feat. J. Cole & Travis Scott),Young Thug,2,98,59,80,200,2,89
Never Really Over,Katy Perry,0,100,88,77,224,19,89
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2,114,72,66,164,18,89
Otro Trago,Sech,0,176,70,75,226,14,91
Antisocial (with Travis Scott),Ed Sheeran,0,152,82,72,162,13,87
Sucker,Jonas Brothers,2,138,73,84,181,4,80
"fuck, i'm lonely (with Anne-Marie) - from �13 Reasons Why: Season 3�",Lauv,0,95,56,81,199,48,78
Higher Love,Kygo,2,104,68,69,228,2,88
You Need To Calm Down,Taylor Swift,0,85,68,77,171,1,90
Shallow,Lady Gaga,0,96,39,57,216,37,87
Talk,Khalid,0,136,40,90,198,5,84
Con Altura,ROSAL�A,2,98,69,88,162,39,88
One Thing Right,Marshmello,2,88,62,66,182,7,88
Te Robar�,Nicky Jam,1,176,75,67,202,24,88
Happier,Marshmello,2,100,79,69,214,19,88
Call You Mine,The Chainsmokers,2,104,70,59,218,23,88
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,0,95,79,75,206,21,82
